{'Body': {'id': 1, 'msgid': 70, 'datetime': '2024-07-06T14:01:08', 'T': 22.76000023, 'RH': 32.15999985, 'P': 891.2700195, 'eVOC': 0.600000024, 'CO2': 422.1499939, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 71, 'datetime': '2024-07-06T14:02:22', 'T': 22.75, 'RH': 32.18000031, 'P': 891.2999878, 'eVOC': 0.579999983, 'CO2': 421.8500061, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 72, 'datetime': '2024-07-06T14:03:34', 'T': 22.75, 'RH': 32.15999985, 'P': 891.2999878, 'eVOC': 0.579999983, 'CO2': 422.1499939, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 73, 'datetime': '2024-07-06T14:04:48', 'T': 22.79000092, 'RH': 32.09000015, 'P': 891.2800293, 'eVOC': 0.569999993, 'CO2': 422.019989, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 74, 'datetime': '2024-07-06T14:06:01', 'T': 22.73999977, 'RH': 32.06999969, 'P': 891.289978, 'eVOC': 0.550000012, 'CO2': 420.4599915, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 75, 'datetime': '2024-07-06T14:07:14', 'T': 22.78000069, 'RH': 32.04000092, 'P': 891.2700195, 'eVOC': 0.550000012, 'CO2': 420.3900146, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 76, 'datetime': '2024-07-06T14:08:27', 'T': 22.79000092, 'RH': 31.97999954, 'P': 891.2800293, 'eVOC': 0.540000021, 'CO2': 417.3299866, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 77, 'datetime': '2024-07-06T14:09:41', 'T': 22.77000046, 'RH': 32, 'P': 891.289978, 'eVOC': 0.560000002, 'CO2': 421.1700134, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 78, 'datetime': '2024-07-06T14:10:53', 'T': 22.76000023, 'RH': 32.02999878, 'P': 891.2800293, 'eVOC': 0.540000021, 'CO2': 420.3299866, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 79, 'datetime': '2024-07-06T14:12:07', 'T': 22.71999931, 'RH': 32.08000183, 'P': 891.25, 'eVOC': 0.540000021, 'CO2': 424.3399963, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 80, 'datetime': '2024-07-06T14:13:19', 'T': 22.76000023, 'RH': 32.04999924, 'P': 891.2800293, 'eVOC': 0.550000012, 'CO2': 424.4299927, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 81, 'datetime': '2024-07-06T14:14:33', 'T': 22.76000023, 'RH': 32.02999878, 'P': 891.25, 'eVOC': 0.550000012, 'CO2': 425.4599915, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 82, 'datetime': '2024-07-06T14:15:46', 'T': 22.78000069, 'RH': 32.06999969, 'P': 891.25, 'eVOC': 0.550000012, 'CO2': 422.2099915, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 83, 'datetime': '2024-07-06T14:16:58', 'T': 22.77000046, 'RH': 32.06999969, 'P': 891.2600098, 'eVOC': 0.540000021, 'CO2': 424.8800049, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 84, 'datetime': '2024-07-06T14:18:12', 'T': 22.71999931, 'RH': 32.15999985, 'P': 891.2700195, 'eVOC': 0.540000021, 'CO2': 429.5499878, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 85, 'datetime': '2024-07-06T14:19:25', 'T': 22.71999931, 'RH': 32.11000061, 'P': 891.2700195, 'eVOC': 0.529999971, 'CO2': 430.8900146, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 86, 'datetime': '2024-07-06T14:20:38', 'T': 22.70000076, 'RH': 32.15999985, 'P': 891.2800293, 'eVOC': 0.529999971, 'CO2': 428.2799988, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 87, 'datetime': '2024-07-06T14:21:51', 'T': 22.71999931, 'RH': 32.16999817, 'P': 891.2999878, 'eVOC': 0.540000021, 'CO2': 428.4200134, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 88, 'datetime': '2024-07-06T14:23:05', 'T': 22.75, 'RH': 32.13999939, 'P': 891.3099976, 'eVOC': 0.560000002, 'CO2': 434.4700012, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 89, 'datetime': '2024-07-06T14:24:17', 'T': 22.77000046, 'RH': 32.16999817, 'P': 891.3099976, 'eVOC': 0.550000012, 'CO2': 430.6000061, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 90, 'datetime': '2024-07-06T14:25:31', 'T': 22.75, 'RH': 32.11999893, 'P': 891.3099976, 'eVOC': 0.540000021, 'CO2': 433.1199951, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 91, 'datetime': '2024-07-06T14:26:43', 'T': 22.73999977, 'RH': 32.15000153, 'P': 891.2999878, 'eVOC': 0.50999999, 'CO2': 435.1300049, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 92, 'datetime': '2024-07-06T14:27:57', 'T': 22.76000023, 'RH': 32.13000107, 'P': 891.3200073, 'eVOC': 0.50999999, 'CO2': 434.9599915, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 93, 'datetime': '2024-07-06T14:29:10', 'T': 22.79000092, 'RH': 32.09999847, 'P': 891.2999878, 'eVOC': 0.529999971, 'CO2': 431.769989, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 94, 'datetime': '2024-07-06T14:30:23', 'T': 22.78000069, 'RH': 32.09999847, 'P': 891.3099976, 'eVOC': 0.50999999, 'CO2': 431.7999878, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 95, 'datetime': '2024-07-06T14:31:36', 'T': 22.75, 'RH': 32.08000183, 'P': 891.2700195, 'eVOC': 0.5, 'CO2': 431.2799988, 'PM25': 0}}
