Time,Temp,RH,Pres,CO2,Gas,PM1,PM25,PM10
2024_05_16 - 06:53:57 PM,0,0,0,0,0,0,0,0
2024_05_16 - 06:54:00 PM,0,0,0,0,0,0,0,0
2024_05_16 - 06:54:00 PM, 0.00, 0.00, 871.49, 0.00, 25.17, 0, 8, 40
2024_05_16 - 06:54:02 PM, 0.00, 0.00, 871.49, 0.00, 25.17, 0, 8, 40
2024_05_16 - 06:55:48 PM, 0.00, 0.00, 871.59, 0.00, 25.03, 0, 8, 40
2024_05_16 - 06:55:50 PM, 0.00, 0.00, 871.59, 0.00, 25.03, 0, 8, 40
2024_05_16 - 06:55:59 PM, 0.00, 0.00, 871.59, 0.00, 25.03, 0, 8, 40
2024_05_16 - 06:56:03 PM, 0.00, 0.00, 871.59, 0.00, 25.03, 0, 8, 40
2024_05_16 - 06:56:05 PM, 0.00, 0.00, 871.57, 0.00, 25.20, 0, 8, 40
2024_05_16 - 06:56:07 PM, 0.00, 0.00, 871.57, 0.00, 25.20, 0, 8, 40
2024_05_16 - 06:56:17 PM, 0.00, 0.00, 871.57, 0.00, 25.20, 0, 8, 40
2024_05_16 - 06:56:21 PM, 0.00, 0.00, 871.57, 0.00, 25.20, 0, 8, 40
2024_05_16 - 06:56:23 PM, 0.00, 0.00, 871.45, 0.00, 25.18, 0, 8, 40
2024_05_16 - 06:56:25 PM, 0.00, 0.00, 871.45, 0.00, 25.18, 0, 8, 40
2024_05_16 - 06:56:34 PM, 0.00, 0.00, 871.45, 0.00, 25.18, 0, 8, 40
2024_05_16 - 06:56:41 PM, 0.00, 0.00, 871.56, 0.00, 25.15, 0, 8, 40
2024_05_16 - 06:56:43 PM, 0.00, 0.00, 871.56, 0.00, 25.15, 0, 8, 40
2024_05_16 - 06:56:52 PM, 0.00, 0.00, 871.56, 0.00, 25.15, 0, 8, 40
2024_05_16 - 06:56:55 PM, 0.00, 0.00, 871.56, 0.00, 25.15, 0, 8, 40
2024_05_16 - 06:56:58 PM, 0.00, 0.00, 871.56, 0.00, 25.15, 0, 8, 40
2024_05_16 - 06:56:59 PM, 0.00, 0.00, 871.57, 0.00, 25.20, 0, 8, 40
2024_05_16 - 06:57:01 PM, 0.00, 0.00, 871.57, 0.00, 25.20, 0, 8, 40
2024_05_16 - 06:57:10 PM, 0.00, 0.00, 871.57, 0.00, 25.20, 0, 8, 40
2024_05_16 - 06:57:13 PM, 0.00, 0.00, 871.57, 0.00, 25.20, 0, 8, 40
2024_05_16 - 06:57:16 PM, 0.00, 0.00, 871.57, 0.00, 25.20, 0, 8, 40
2024_05_16 - 06:57:17 PM, 0.00, 0.00, 871.64, 0.00, 25.12, 2, 10, 42
2024_05_16 - 06:57:19 PM, 0.00, 0.00, 871.64, 0.00, 25.12, 2, 10, 42
2024_05_16 - 06:57:27 PM, 0.00, 0.00, 871.64, 0.00, 25.12, 2, 10, 42
2024_05_16 - 06:57:31 PM, 0.00, 0.00, 871.64, 0.00, 25.12, 2, 10, 42
2024_05_16 - 06:57:34 PM, 0.00, 0.00, 871.64, 0.00, 25.12, 2, 10, 42
2024_05_16 - 06:57:35 PM, 0.00, 0.00, 871.60, 0.00, 25.20, 0, 8, 40
2024_05_16 - 06:57:37 PM, 0.00, 0.00, 871.60, 0.00, 25.20, 0, 8, 40
2024_05_16 - 06:57:45 PM, 0.00, 0.00, 871.60, 0.00, 25.20, 0, 8, 40
2024_05_16 - 06:57:49 PM, 0.00, 0.00, 871.60, 0.00, 25.20, 0, 8, 40
2024_05_16 - 06:57:52 PM, 0.00, 0.00, 871.60, 0.00, 25.20, 0, 8, 40
2024_05_16 - 06:57:53 PM, 0.00, 0.00, 871.64, 0.00, 25.27, 0, 8, 40
2024_05_16 - 06:57:55 PM, 0.00, 0.00, 871.64, 0.00, 25.27, 0, 8, 40
2024_05_16 - 06:58:03 PM, 0.00, 0.00, 871.64, 0.00, 25.27, 0, 8, 40
2024_05_16 - 06:58:06 PM, 0.00, 0.00, 871.64, 0.00, 25.27, 0, 8, 40
2024_05_16 - 06:58:09 PM, 0.00, 0.00, 871.64, 0.00, 25.27, 0, 8, 40
2024_05_16 - 06:58:10 PM, 0.00, 0.00, 871.62, 0.00, 25.32, 0, 8, 40
2024_05_16 - 06:58:12 PM, 0.00, 0.00, 871.62, 0.00, 25.32, 0, 8, 40
2024_05_16 - 06:58:21 PM, 0.00, 0.00, 871.62, 0.00, 25.32, 0, 8, 40
2024_05_16 - 06:58:24 PM, 0.00, 0.00, 871.62, 0.00, 25.32, 0, 8, 40
2024_05_16 - 06:58:27 PM, 0.00, 0.00, 871.62, 0.00, 25.32, 0, 8, 40
2024_05_16 - 06:58:28 PM, 0.00, 0.00, 871.72, 0.00, 25.23, 0, 8, 40
2024_05_16 - 06:58:30 PM, 0.00, 0.00, 871.72, 0.00, 25.23, 0, 8, 40
2024_05_16 - 06:58:39 PM, 0.00, 0.00, 871.72, 0.00, 25.23, 0, 8, 40
2024_05_16 - 06:58:42 PM, 0.00, 0.00, 871.72, 0.00, 25.23, 0, 8, 40
2024_05_16 - 06:58:45 PM, 0.00, 0.00, 871.72, 0.00, 25.23, 0, 8, 40
2024_05_16 - 06:58:46 PM, 0.00, 0.00, 871.67, 0.00, 25.29, 0, 8, 40
2024_05_16 - 06:58:48 PM, 0.00, 0.00, 871.67, 0.00, 25.29, 0, 8, 40
2024_05_16 - 06:58:57 PM, 0.00, 0.00, 871.67, 0.00, 25.29, 0, 8, 40
