Time,Temp,RH,Pres,CO2,VOC,PM1,PM25,PM10

2024_07_09 - 05:56:38 PM,28.17,43.51,887.53,565.02,0.50,18.00,28.00,0

2024_07_09 - 05:57:38 PM,28.39,42.76,887.59,573.76,0.50,14.00,24.00,34.00

2024_07_09 - 05:58:38 PM,28.48,42.21,887.62,567.97,0.52,14.00,22.00,32.00

2024_07_09 - 05:59:39 PM,28.62,41.96,887.59,579.86,0.50,8.00,22.00,32.00

2024_07_09 - 06:00:39 PM,28.75,41.52,887.69,592.53,0.50,8.00,22.00,32.00

2024_07_09 - 06:01:39 PM,28.87,41.33,887.54,609.93,0.50,8.00,18.00,28.00

2024_07_09 - 06:02:39 PM,28.87,41.33,887.60,609.93,0.51,10.00,20.00,30.00

2024_07_09 - 06:03:40 PM,28.96,41.14,887.70,627.63,0.50,12.00,26.00,38.00

2024_07_09 - 06:04:40 PM,29.03,41.12,887.56,643.23,0.50,10.00,26.00,42.00

2024_07_09 - 06:05:40 PM,28.99,41.19,887.61,639.98,0.53,12.00,24.00,34.00

2024_07_09 - 06:06:41 PM,29.03,41.12,887.56,633.78,0.52,12.00,22.00,32.00

2024_07_09 - 06:07:41 PM,28.95,41.53,887.58,642.58,0.52,4.00,12.00,22.00

2024_07_09 - 06:08:41 PM,28.99,40.67,887.64,636.53,0.51,8.00,16.00,26.00

2024_07_09 - 06:09:41 PM,29.06,40.64,887.47,633.28,0.50,16.00,28.00,38.00

2024_07_09 - 06:10:42 PM,28.99,40.69,887.59,639.69,0.48,8.00,20.00,32.00

2024_07_09 - 06:11:42 PM,29.02,41.15,887.59,644.32,0.50,16.00,26.00,38.00

2024_07_09 - 06:12:42 PM,28.98,41.25,887.53,650.81,0.50,8.00,22.00,32.00

2024_07_09 - 06:13:43 PM,28.98,41.25,887.63,650.81,0.52,16.00,24.00,36.00

2024_07_09 - 06:14:43 PM,28.95,41.12,887.74,644.84,0.51,16.00,24.00,44.00

2024_07_09 - 06:15:43 PM,28.92,41.15,887.80,650.11,0.52,10.00,18.00,28.00

2024_07_09 - 06:16:43 PM,28.98,40.77,887.74,645.35,0.50,10.00,18.00,28.00

2024_07_09 - 06:17:44 PM,29.02,41.13,887.41,644.85,0.51,10.00,20.00,30.00

2024_07_09 - 06:18:44 PM,29.02,40.79,887.50,653.37,0.51,12.00,20.00,30.00

2024_07_09 - 06:19:44 PM,29.01,40.52,887.55,644.69,0.51,6.00,20.00,30.00

2024_07_09 - 06:20:45 PM,29.05,40.82,887.69,646.33,0.51,10.00,26.00,36.00

2024_07_09 - 06:21:45 PM,29.03,40.98,887.71,645.35,0.51,10.00,16.00,28.00

2024_07_09 - 06:22:45 PM,28.96,41.09,887.51,643.99,0.51,10.00,24.00,34.00

2024_07_09 - 06:23:45 PM,28.98,41.07,887.44,649.35,0.52,10.00,22.00,32.00

2024_07_09 - 06:24:46 PM,28.98,41.07,887.70,649.35,0.54,14.00,24.00,50.00

2024_07_09 - 06:25:46 PM,29.03,40.74,887.61,640.97,0.52,12.00,20.00,32.00

2024_07_09 - 06:26:46 PM,28.95,40.87,887.64,627.66,0.51,8.00,20.00,30.00

