Time,Temp,RH,Pres,CO2,VOC,PM1,PM25,PM10
2024_07_06 - 11:28:05 AM, 25.19, 32.46, 888.57, 584.33, 2.78, 0.00, 10.00, 20.00
2024_07_06 - 11:29:05 AM, 25.25, 32.34, 888.51, 583.27, 2.81, 0.00, 10.00, 20.00
2024_07_06 - 11:30:06 AM, 25.25, 32.34, 888.52, 583.27, 2.64, 0.00, 8.00, 18.00
2024_07_06 - 11:31:06 AM, 25.22, 32.36, 888.51, 584.14, 2.57, 0.00, 6.00, 18.00
2024_07_06 - 11:32:06 AM, 25.23, 32.20, 888.56, 583.66, 2.50, 2.00, 6.00, 18.00
2024_07_06 - 11:33:07 AM, 25.25, 32.34, 888.57, 586.26, 2.37, 0.00, 8.00, 18.00
2024_07_06 - 11:34:07 AM, 25.23, 32.19, 888.56, 589.16, 2.33, 2.00, 6.00, 18.00
2024_07_06 - 11:35:08 AM, 25.29, 32.10, 888.56, 588.27, 2.29, 2.00, 14.00, 24.00
2024_07_06 - 11:36:08 AM, 25.27, 32.00, 888.53, 586.98, 2.21, 2.00, 8.00, 20.00
2024_07_06 - 11:37:09 AM, 25.29, 32.18, 888.51, 588.17, 2.19, 0.00, 8.00, 18.00
2024_07_06 - 11:38:09 AM, 25.27, 32.11, 888.56, 586.83, 2.07, 4.00, 12.00, 22.00
2024_07_06 - 11:39:09 AM, 25.22, 32.06, 888.55, 588.12, 2.05, 0.00, 6.00, 18.00
2024_07_06 - 11:40:10 AM, 25.22, 32.06, 888.52, 588.12, 1.99, 0.00, 6.00, 18.00
2024_07_06 - 11:41:10 AM, 25.27, 32.07, 888.49, 587.47, 2.02, 2.00, 12.00, 22.00
2024_07_06 - 11:42:11 AM, 25.33, 31.99, 888.52, 588.07, 2.06, 2.00, 8.00, 18.00
2024_07_06 - 11:43:11 AM, 25.34, 31.86, 888.52, 589.10, 1.97, 4.00, 14.00, 24.00
2024_07_06 - 11:44:12 AM, 25.29, 31.46, 888.51, 591.03, 1.86, 0.00, 6.00, 16.00
2024_07_06 - 11:45:12 AM, 25.30, 31.46, 888.53, 589.24, 1.76, 2.00, 10.00, 20.00
2024_07_06 - 11:46:13 AM, 25.40, 31.67, 888.50, 587.38, 1.76, 2.00, 10.00, 20.00
2024_07_06 - 11:47:13 AM, 25.40, 31.62, 888.52, 586.52, 1.75, 0.00, 12.00, 22.00
2024_07_06 - 11:48:13 AM, 25.43, 31.50, 888.51, 588.03, 1.65, 0.00, 18.00, 28.00
2024_07_06 - 11:49:14 AM, 25.23, 31.81, 888.54, 573.09, 1.61, 0.00, 8.00, 18.00
2024_07_06 - 11:50:14 AM, 25.12, 31.95, 888.54, 556.64, 1.61, 0.00, 6.00, 16.00
2024_07_06 - 11:51:15 AM, 25.12, 31.95, 888.50, 556.64, 1.63, 0.00, 10.00, 20.00
2024_07_06 - 11:52:15 AM, 25.37, 31.59, 888.51, 563.02, 1.62, 2.00, 12.00, 22.00
2024_07_06 - 11:53:16 AM, 25.50, 31.26, 888.51, 1200.42, 1.58, 0.00, 8.00, 20.00
2024_07_06 - 11:54:16 AM, 25.58, 31.21, 888.56, 1032.00, 1.56, 2.00, 10.00, 20.00
2024_07_06 - 11:55:16 AM, 25.64, 31.07, 888.56, 795.12, 1.53, 0.00, 6.00, 16.00
2024_07_06 - 11:56:17 AM, 25.67, 30.91, 888.59, 615.53, 1.48, 4.00, 10.00, 20.00
2024_07_06 - 11:57:17 AM, 25.67, 30.95, 888.60, 567.99, 1.38, 0.00, 10.00, 20.00
2024_07_06 - 11:58:18 AM, 25.67, 30.92, 888.62, 575.62, 1.38, 2.00, 8.00, 18.00
2024_07_06 - 11:59:18 AM, 25.71, 31.02, 888.60, 578.56, 1.37, 0.00, 8.00, 20.00
