Time,Temp,RH,Pres,CO2,VOC,PM1,PM25,PM10
2024_07_07 - 12:10:49 PM, 26.39, 33.26, 889.26, 578.45, 0.69, 2.00, 10.00, 20.00
2024_07_07 - 12:11:45 PM, 26.39, 33.12, 889.24, 579.15, 0.65, 4.00, 12.00, 22.00
2024_07_07 - 12:12:45 PM, 26.39, 33.50, 889.26, 579.50, 0.66, 4.00, 12.00, 22.00
2024_07_07 - 12:13:46 PM, 26.48, 33.21, 889.31, 578.12, 0.70, 2.00, 12.00, 22.00
2024_07_07 - 12:14:46 PM, 26.51, 32.94, 889.25, 578.40, 0.70, 2.00, 10.00, 20.00
2024_07_07 - 12:15:47 PM, 26.51, 32.94, 889.26, 578.40, 0.65, 2.00, 10.00, 20.00
2024_07_07 - 12:18:04 PM, 0.00, 0.00, 889.25, 0.00, 0.58, 4.00, 10.00, 20.00
2024_07_07 - 12:19:00 PM, 26.17, 33.26, 889.25, 387.39, 0.65, 10.00, 16.00, 28.00
2024_07_07 - 12:19:56 PM, 26.36, 33.20, 889.22, 576.98, 0.69, 2.00, 10.00, 22.00
2024_07_07 - 12:20:57 PM, 26.48, 32.90, 889.24, 591.94, 0.79, 2.00, 10.00, 22.00
2024_07_07 - 12:21:57 PM, 26.41, 32.85, 889.27, 580.20, 0.79, 4.00, 10.00, 20.00
2024_07_07 - 12:22:57 PM, 26.58, 32.64, 889.33, 570.03, 0.73, 4.00, 18.00, 28.00
2024_07_07 - 12:23:58 PM, 26.67, 32.35, 889.28, 577.68, 0.70, 2.00, 10.00, 20.00
2024_07_07 - 12:24:58 PM, 26.64, 32.21, 889.26, 579.80, 0.69, 4.00, 16.00, 26.00
2024_07_07 - 12:25:59 PM, 26.65, 32.24, 889.25, 573.43, 0.71, 6.00, 18.00, 28.00
2024_07_07 - 12:26:59 PM, 26.67, 32.10, 889.23, 571.51, 0.72, 6.00, 12.00, 22.00
2024_07_07 - 12:28:00 PM, 26.67, 32.10, 889.17, 571.51, 0.71, 2.00, 10.00, 20.00
2024_07_07 - 12:29:00 PM, 26.60, 31.97, 889.15, 568.39, 0.74, 2.00, 8.00, 20.00
2024_07_07 - 12:30:00 PM, 26.65, 31.90, 889.17, 572.99, 0.72, 2.00, 12.00, 22.00
2024_07_07 - 12:31:01 PM, 26.71, 31.93, 889.18, 578.21, 0.72, 4.00, 12.00, 22.00
2024_07_07 - 12:32:01 PM, 26.68, 31.81, 889.16, 578.83, 0.73, 6.00, 16.00, 26.00
2024_07_07 - 12:33:02 PM, 26.64, 31.75, 889.15, 583.64, 0.73, 6.00, 22.00, 32.00
2024_07_07 - 12:34:02 PM, 26.51, 32.03, 889.16, 590.83, 0.70, 2.00, 12.00, 24.00
2024_07_07 - 12:35:03 PM, 26.57, 31.56, 889.15, 595.11, 0.70, 4.00, 10.00, 22.00
2024_07_07 - 12:36:03 PM, 26.68, 31.32, 889.14, 593.03, 0.68, 0.00, 8.00, 18.00
2024_07_07 - 12:37:03 PM, 26.67, 31.19, 889.12, 587.64, 0.70, 2.00, 8.00, 18.00
2024_07_07 - 12:38:10 PM, 26.65, 31.27, 889.12, 584.82, 0.67, 4.00, 12.00, 22.00
2024_07_07 - 12:39:10 PM, 26.65, 31.27, 889.11, 584.82, 0.64, 4.00, 16.00, 26.00
2024_07_07 - 12:40:10 PM, 26.71, 31.27, 889.15, 581.67, 0.63, 4.00, 12.00, 22.00
2024_07_07 - 12:41:11 PM, 26.73, 31.22, 889.12, 580.86, 0.59, 6.00, 16.00, 26.00
2024_07_07 - 12:42:11 PM, 26.73, 31.17, 889.09, 580.51, 0.57, 2.00, 10.00, 22.00
2024_07_07 - 12:43:11 PM, 26.73, 31.14, 889.08, 573.24, 0.56, 4.00, 16.00, 26.00
2024_07_07 - 12:44:12 PM, 26.74, 31.09, 889.11, 572.23, 0.55, 2.00, 12.00, 24.00
2024_07_07 - 12:45:12 PM, 26.74, 30.84, 889.14, 567.06, 0.51, 2.00, 12.00, 22.00
2024_07_07 - 12:46:07 PM, 26.71, 30.80, 889.13, 558.67, 0.49, 2.00, 12.00, 22.00
2024_07_07 - 12:47:08 PM, 26.73, 31.07, 889.06, 548.79, 0.50, 4.00, 10.00, 20.00
2024_07_07 - 12:48:08 PM, 26.71, 31.13, 889.06, 551.68, 0.51, 6.00, 14.00, 24.00
2024_07_07 - 12:49:09 PM, 26.71, 31.13, 889.02, 551.68, 0.52, 4.00, 12.00, 24.00
2024_07_07 - 12:50:09 PM, 26.64, 31.23, 889.05, 546.95, 0.50, 0.00, 8.00, 18.00
2024_07_07 - 12:51:10 PM, 26.67, 31.16, 889.01, 548.53, 0.51, 4.00, 12.00, 22.00
2024_07_07 - 12:52:10 PM, 26.70, 31.11, 889.11, 547.16, 0.50, 2.00, 12.00, 22.00
2024_07_07 - 12:53:10 PM, 26.64, 31.12, 889.13, 536.78, 0.51, 0.00, 8.00, 20.00
2024_07_07 - 12:54:17 PM, 26.67, 30.99, 889.20, 537.12, 0.50, 4.00, 12.00, 22.00
2024_07_07 - 12:55:17 PM, 26.65, 30.93, 889.04, 535.03, 0.50, 4.00, 12.00, 22.00
2024_07_07 - 12:56:17 PM, 26.65, 31.04, 889.12, 534.78, 0.49, 2.00, 8.00, 20.00
2024_07_07 - 12:57:18 PM, 26.64, 31.09, 889.06, 540.25, 0.50, 6.00, 20.00, 30.00
2024_07_07 - 12:58:18 PM, 26.57, 31.23, 889.01, 542.88, 0.51, 2.00, 14.00, 24.00
2024_07_07 - 12:59:18 PM, 26.61, 31.35, 889.12, 539.91, 0.50, 6.00, 14.00, 24.00
2024_07_07 - 01:00:19 PM, 26.61, 31.35, 889.14, 539.91, 0.50, 2.00, 10.00, 22.00
2024_07_07 - 01:01:19 PM, 26.60, 31.27, 889.08, 536.54, 0.50, 4.00, 12.00, 34.00
